Record Length,Analog:3500,
Sample Interval,Analog:2.000000E-09,
Vertical Units,CH1:V, CH2:V, CH3:V,,
Vertical Scale,CH1:+2.000000E+00, CH2:+2.000000E+00, CH3:+5.000000E-04,,
Vertical Offset,CH1:+0.000000E+00, CH2:+0.000000E+00, CH3:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E-01,
Model Number,T3DSO1204 ,
Serial Number,T0101C21531109,
Software Version,8.3.6.1.37R8,
Source,CH1,CH2,CH3
Second,Value,Value,Value
-1.520000E-07,-1.600000E-01,+0.000000E+00,-3.200000E-04
-1.500000E-07,-1.600000E-01,+0.000000E+00,-3.400000E-04
-1.480000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-1.460000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-1.440000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-1.420000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-1.400000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-1.380000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-1.360000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-1.340000E-07,-1.600000E-01,+0.000000E+00,-3.800000E-04
-1.320000E-07,-1.600000E-01,+0.000000E+00,-3.600000E-04
-1.300000E-07,-8.000000E-02,+0.000000E+00,-3.400000E-04
-1.280000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-1.260000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-1.240000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-1.220000E-07,-1.600000E-01,+0.000000E+00,-1.200000E-04
-1.200000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-1.180000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-1.160000E-07,-1.600000E-01,+0.000000E+00,-3.200000E-04
-1.140000E-07,-1.600000E-01,+0.000000E+00,-3.200000E-04
-1.120000E-07,-1.600000E-01,+0.000000E+00,-3.200000E-04
-1.100000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-1.080000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-1.060000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-1.040000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-1.020000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-1.000000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-9.800000E-08,-1.600000E-01,+0.000000E+00,-3.000000E-04
-9.600000E-08,-1.600000E-01,+0.000000E+00,-3.200000E-04
-9.400000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-9.200000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-9.000000E-08,-1.600000E-01,+0.000000E+00,-2.400000E-04
-8.800000E-08,-1.600000E-01,+0.000000E+00,-2.800000E-04
-8.600000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-8.400000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-8.200000E-08,-1.600000E-01,+0.000000E+00,-2.200000E-04
-8.000000E-08,-1.600000E-01,+0.000000E+00,-2.000000E-04
-7.800000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-7.600000E-08,-1.600000E-01,+0.000000E+00,-2.400000E-04
-7.400000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-7.200000E-08,-1.600000E-01,+0.000000E+00,-3.200000E-04
-7.000000E-08,-1.600000E-01,+0.000000E+00,-3.000000E-04
-6.800000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-6.600000E-08,-8.000000E-02,+0.000000E+00,-2.000000E-04
-6.400000E-08,-1.600000E-01,+0.000000E+00,-1.800000E-04
-6.200000E-08,-1.600000E-01,+0.000000E+00,-1.600000E-04
-6.000000E-08,-1.600000E-01,+0.000000E+00,-3.000000E-04
-5.800000E-08,-1.600000E-01,+0.000000E+00,-3.000000E-04
-5.600000E-08,-1.600000E-01,+0.000000E+00,-2.800000E-04
-5.400000E-08,-1.600000E-01,+0.000000E+00,-3.000000E-04
-5.200000E-08,-1.600000E-01,+0.000000E+00,-2.400000E-04
-5.000000E-08,-1.600000E-01,+0.000000E+00,-2.400000E-04
-4.800000E-08,-1.600000E-01,+0.000000E+00,-2.200000E-04
-4.600000E-08,-1.600000E-01,+0.000000E+00,-2.400000E-04
-4.400000E-08,-1.600000E-01,+0.000000E+00,-2.000000E-04
-4.200000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-4.000000E-08,-1.600000E-01,+0.000000E+00,-3.000000E-04
-3.800000E-08,-1.600000E-01,+0.000000E+00,-3.000000E-04
-3.600000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-3.400000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-3.200000E-08,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.000000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-2.800000E-08,-1.600000E-01,+0.000000E+00,-3.000000E-04
-2.600000E-08,-1.600000E-01,+0.000000E+00,-2.800000E-04
-2.400000E-08,-1.600000E-01,+0.000000E+00,-2.000000E-04
-2.200000E-08,-1.600000E-01,+0.000000E+00,-2.200000E-04
-2.000000E-08,-1.600000E-01,+0.000000E+00,-2.600000E-04
-1.800000E-08,-1.600000E-01,+0.000000E+00,-2.800000E-04
